,INTERVAL GAUSS-SEIDEL METHOD,INTERVAL TOOLS,GLOBAL UNCONSTRAINED OPTIMIZATION,INFORMATION PROPAGATION,VALIDATED SOLVER,BISECTIONS,SOCIAL RELATIONSHIPS,TERMINATION CRITERIA,SOFTWARE PACKAGES,GLOBAL CONSTRAINED OPTIMIZATION,ACCELERATING DEVICES,INTERVAL NEWTON METHOD,LARGE-SCALE NETWORK
INTERVAL GAUSS-SEIDEL METHOD,0,1,1,0,0,1,0,1,0,1,1,1,0
INTERVAL TOOLS,1,0,2,0,1,1,0,1,1,2,1,1,0
GLOBAL UNCONSTRAINED OPTIMIZATION,1,2,0,0,0,1,0,1,0,2,1,1,0
INFORMATION PROPAGATION,0,0,0,0,0,0,1,0,0,0,0,0,1
VALIDATED SOLVER,0,1,0,0,0,0,0,0,1,0,0,0,0
BISECTIONS,1,1,1,0,0,0,0,1,0,1,1,1,0
SOCIAL RELATIONSHIPS,0,0,0,1,0,0,0,0,0,0,0,0,1
TERMINATION CRITERIA,1,1,1,0,0,1,0,0,0,1,1,1,0
SOFTWARE PACKAGES,0,1,0,0,1,0,0,0,0,0,0,0,0
GLOBAL CONSTRAINED OPTIMIZATION,1,2,2,0,0,1,0,1,0,0,1,1,0
ACCELERATING DEVICES,1,1,1,0,0,1,0,1,0,1,0,1,0
INTERVAL NEWTON METHOD,1,1,1,0,0,1,0,1,0,1,1,0,0
LARGE-SCALE NETWORK,0,0,0,1,0,0,1,0,0,0,0,0,0
